name,lat,lon,cat,province
巴彦淖尔市,40.741703,107.38219,五线城市,Inner Mongolia
平凉市,35.543438,106.66104,五线城市,Gansu
庆阳市,35.70932,107.63868,五线城市,Gansu
张掖市,38.925152,100.44838,五线城市,Gansu
日喀则市,29.273045,88.88517,五线城市,Tibet
昌都市,31.143665,97.172569,五线城市,Tibet
昭通市,27.341568,103.71471,五线城市,Yunan
普洱市,22.828112,100.96493,五线城市,Yunan
林芝市,29.650883,94.360374,五线城市,Tibet
榆林市,38.284706,109.72938,四线城市,Shaanxi
武威市,37.928123,102.6364,五线城市,Gansu
毕节市,27.287899,105.28913,五线城市,Guizhou
海东市,36.502258,102.10223,五线城市,Qinghai
淮安市,33.611599,119.00996,三线城市,Jiangsu
滨州市,37.388203,117.97724,四线城市,Shandong
眉山市,30.079599,103.84809,四线城市,Sichuan
菏泽市,35.234035,115.47469,四线城市,Shandong
襄阳市,32.011028,112.11636,三线城市,Hubei
资阳市,30.131647,104.62543,五线城市,Sichuan
达州市,31.210766,107.4635,五线城市,Sichuan
鄂尔多斯市,39.607243,109.77534,四线城市,Inner Mongolia
酒泉市,39.738495,98.500694,五线城市,Gansu
铜仁市,27.734711,109.18502,五线城市,Guizhou
陇南市,33.402756,104.91904,五线城市,Gansu
雅安市,30.013536,103.04092,四线城市,Sichuan
驻马店市,33.013596,114.0164,四线城市,Henan
龙岩市,25.07773,117.01223,三线城市,Fujian
七台河市,45.768124,130.99744,五线城市,Heilongjiang
三亚市,18.254665,109.50776,三线城市,Hainan
三明市,26.267403,117.63417,三线城市,Fujian
三沙市,16.497086,111.67309,五线城市,Hainan
三门峡市,34.773407,111.19407,五线城市,Henan
上海市,31.231953,121.46944,一线城市,Shanghai
上饶市,28.457756,117.93843,三线城市,Jiangxi
东莞市,23.023649,113.74662,新一线城市,Guangdong
东营市,37.43264,118.66914,三线城市,Shandong
中卫市,37.499386,105.19296,五线城市,Ningxia
中山市,22.518623,113.38734,二线城市,Guangdong
临夏回族自治州,35.607578,103.2168,五线城市,Gansu
临汾市,36.088154,111.51279,四线城市,Shanxi
临沂市,35.105175,118.35095,三线城市,Shandong
临沧市,23.886808,100.08769,五线城市,Yunan
丹东市,39.998989,124.34917,三线城市,Liaoning
丽水市,28.47093,119.9184,三线城市,Zhejiang
丽江市,26.85808,100.22514,三线城市,Yunan
乌兰察布市,40.992882,113.12537,五线城市,Inner Mongolia
乌海市,39.654781,106.78938,五线城市,Inner Mongolia
乌鲁木齐市,43.823292,87.615173,二线城市,Xinjiang
乐山市,29.554825,103.76345,四线城市,Sichuan
九江市,29.707989,115.99625,三线城市,Jiangxi
云浮市,22.917658,112.03938,五线城市,Guangdong
亳州市,33.845989,115.77287,五线城市,Anhui
伊春市,47.725121,128.83408,五线城市,Heilongjiang
伊犁哈萨克自治州,43.915596,81.320992,五线城市,Xinjiang
佛山市,23.024343,113.11644,二线城市,Guangdong
佳木斯市,46.797073,130.31277,四线城市,Heilongjiang
保定市,38.873039,115.45828,三线城市,Hebei
保山市,25.136154,99.1698,五线城市,Yunan
信阳市,32.148823,114.08533,四线城市,Henan
儋州市,19.522978,109.57668,五线城市,Hainan
克孜勒苏柯尔克孜自治州,39.714123,76.164673,五线城市,Xinjiang
克拉玛依市,45.579075,84.886894,五线城市,Xinjiang
六安市,31.737167,116.51481,四线城市,Anhui
六盘水市,26.596685,104.82813,五线城市,Guizhou
兰州市,36.061535,103.83194,二线城市,Gansu
兴安盟,46.08012,122.03175,五线城市,Inner Mongolia
内江市,29.582777,105.0552,四线城市,Sichuan
凉山彝族自治州,27.88501,102.26583,五线城市,Sichuan
包头市,40.656044,109.83441,三线城市,Inner Mongolia
北京市,39.903133,116.40105,一线城市,Beijing
北海市,21.48348,109.11562,四线城市,Guangxi
十堰市,32.631306,110.79263,四线城市,Hubei
南京市,32.060413,118.79114,新一线城市,Jiangsu
南充市,30.840145,106.10649,三线城市,Sichuan
南宁市,22.818975,108.36251,二线城市,Guangxi
南平市,26.644661,118.17306,三线城市,Fujian
南昌市,28.68708,115.85355,二线城市,Jiangxi
南通市,31.983046,120.89053,二线城市,Jiangsu
南阳市,32.992634,112.52251,三线城市,Henan
博尔塔拉蒙古自治州,44.912209,82.072906,五线城市,Xinjiang
厦门市,24.48184,118.08456,二线城市,Fujian
双鸭山市,46.644596,131.15094,五线城市,Heilongjiang
台州市,28.658848,121.41665,二线城市,Zhejiang
合肥市,31.822353,117.22167,二线城市,Anhui
吉安市,27.117136,114.98877,四线城市,Jiangxi
吉林市,43.83551,126.54369,三线城市,Jilin
吐鲁番市,42.957027,89.197273,五线城市,Xinjiang
吕梁市,37.51762,111.138,五线城市,Shanxi
吴忠市,37.996853,106.19432,五线城市,Ningxia
周口市,33.627281,114.69145,四线城市,Henan
呼伦贝尔市,49.210205,119.75832,四线城市,Inner Mongolia
呼和浩特市,40.841068,111.74181,三线城市,Inner Mongolia
和田地区,37.114498,79.920197,五线城市,Xinjiang
咸宁市,29.843655,114.31701,四线城市,Hubei
咸阳市,34.330574,108.70448,三线城市,Shaanxi
哈密市,42.818321,93.513092,五线城市,Xinjiang
哈尔滨市,45.80125,126.52885,二线城市,Heilongjiang
唐山市,39.629013,118.17385,三线城市,Hebei
商丘市,34.415524,115.65068,四线城市,Henan
商洛市,33.87397,109.91344,五线城市,Shaanxi
喀什地区,39.469913,75.9869,五线城市,Xinjiang
嘉兴市,30.747375,120.75224,二线城市,Zhejiang
嘉峪关市,39.770897,98.289223,五线城市,Gansu
四平市,43.163548,124.34405,四线城市,Jilin
固原市,36.021633,106.24905,五线城市,Ningxia
塔城地区,46.744518,82.977409,五线城市,Xinjiang
大兴安岭地区,52.503857,123.63004,五线城市,Heilongjiang
大同市,40.075237,113.29305,四线城市,Shanxi
大庆市,46.585888,125.09537,三线城市,Heilongjiang
大理白族自治州,25.609428,100.26662,四线城市,Yunan
大连市,38.912556,121.61002,新一线城市,Liaoning
天水市,34.587372,105.73132,五线城市,Gansu
天津市,39.086769,117.19695,新一线城市,Tianjin
太原市,37.870113,112.54365,二线城市,Shanxi
威海市,37.50946,122.11562,三线城市,Shandong
娄底市,27.700619,111.98907,四线城市,Hunan
孝感市,30.927288,113.91096,三线城市,Hubei
宁德市,26.669645,119.54327,三线城市,Fujian
宁波市,29.863003,121.6179,新一线城市,Zhejiang
安庆市,30.527626,117.052,四线城市,Anhui
安康市,32.686821,109.02416,五线城市,Shaanxi
安阳市,36.099854,114.3867,四线城市,Henan
安顺市,26.256626,105.94422,五线城市,Guizhou
定西市,35.581203,104.6233,五线城市,Gansu
宜宾市,28.755157,104.64063,四线城市,Sichuan
宜昌市,30.694164,111.28068,三线城市,Hubei
宜春市,27.81826,114.41132,四线城市,Jiangxi
宝鸡市,34.364548,107.23309,四线城市,Shaanxi
宣城市,30.942871,118.75382,四线城市,Anhui
宿州市,33.647739,116.959,四线城市,Anhui
宿迁市,33.963295,118.26992,四线城市,Jiangsu
山南市,29.243034,91.778671,五线城市,Tibet
岳阳市,29.359594,113.12276,三线城市,Hunan
崇左市,22.383106,107.37148,五线城市,Guangxi
巴中市,31.869366,106.74131,五线城市,Sichuan
巴音郭楞蒙古自治州,41.762619,86.142624,五线城市,Xinjiang
常州市,31.81175,119.9706,二线城市,Jiangsu
常德市,29.034655,111.69289,四线城市,Hunan
平顶山市,33.767609,113.18623,四线城市,Henan
广元市,32.437714,105.84003,五线城市,Sichuan
广安市,30.458755,106.62944,五线城市,Sichuan
广州市,23.131714,113.25952,一线城市,Guangdong
廊坊市,39.536533,116.67777,三线城市,Hebei
延安市,36.585384,109.48433,五线城市,Shaanxi
延边朝鲜族自治州,42.906811,129.46367,三线城市,Jilin
开封市,34.798141,114.30175,四线城市,Henan
张家口市,40.766254,114.87999,四线城市,Hebei
张家界市,29.119726,110.47418,五线城市,Hunan
徐州市,34.20821,117.27862,二线城市,Jiangsu
德宏傣族景颇族自治州,24.435436,98.584686,五线城市,Yunan
德州市,37.441299,116.36555,四线城市,Shandong
德阳市,31.133089,104.40451,四线城市,Sichuan
忻州市,38.416145,112.72771,五线城市,Shanxi
怀化市,27.572578,109.99715,四线城市,Hunan
怒江傈僳族自治州,25.820955,98.856331,五线城市,Yunan
恩施土家族苗族自治州,30.27466,109.48328,四线城市,Hubei
惠州市,23.113195,114.41202,二线城市,Guangdong
成都市,30.652279,104.07256,新一线城市,Sichuan
扬州市,32.396252,119.40747,三线城市,Jiangsu
承德市,40.949986,117.95668,四线城市,Hebei
抚州市,27.954887,116.36465,四线城市,Jiangxi
抚顺市,41.87748,123.9521,三线城市,Liaoning
拉萨市,29.646719,91.112701,五线城市,Tibet
揭阳市,23.552017,116.36777,三线城市,Guangdong
攀枝花市,26.58573,101.71696,五线城市,Sichuan
文山壮族苗族自治州,23.402889,104.21413,五线城市,Yunan
新乡市,35.304485,113.92117,四线城市,Henan
新余市,27.821304,114.91251,五线城市,Jiangxi
