homework,testscore,totalscore
0,0,0
1,0,.40000001
1,0,.40000001
9,2,4.8000002
0,9,5.4000001
27.08,0,10.832
26.16,4,12.864
21.85,9,14.14
0,39,23.4
52.240002,7,25.096001
0,44,26.4
64.650002,2,27.059999
61.650002,27,40.860001
87.5,11,41.599998
95.25,8,42.900002
62.650002,32,44.259998
63.650002,32,44.66
89.5,18,46.599998
69.260002,33,47.504002
93.25,18,48.099998
92.260002,19,48.304001
85.5,25,49.200001
91.800003,24,51.119999
95.25,23,51.900002
86.5,32,53.799999
85.349998,33,53.939999
82.199997,36,54.48
89.5,32,55
90.650002,33,56.060001
86.349998,37,56.740002
86.5,41,59.200001
92.949997,37,59.380001
91.800003,38,59.52
99.849998,33,59.740002
91.800003,40,60.720001
95.25,38,60.900002
94.099998,39,61.040001
95.25,39,61.5
90.650002,43,62.060001
95.25,40,62.099998
89.5,44,62.200001
93.099998,43,63.040001
91.029999,45,63.411999
91.949997,45,63.779999
90.650002,47,64.459999
92.639999,48,65.856003
98.699997,44,65.879997
86.5,53,66.400002
92.330002,50,66.931999
99.849998,45,66.940002
100,45,67
73.400002,63,67.160004
97.010002,52,70.003998
95.25,54,70.5
93.790001,55,70.515999
94.099998,60,73.639999
94.330002,63,75.531998
93.18,64,75.671997
97.089996,62,76.036003
98.699997,61,76.080002
94.099998,65,76.639999
98.239998,63,77.096001
97.550003,64,77.419998
94.790001,67,78.115997
100,65,79
98.239998,67,79.496002
94.099998,70,79.639999
98.699997,68,80.279999
95.779999,70,80.311996
97.550003,70,81.019997
97.089996,71,81.435997
95.25,74,82.5
99.849998,71,82.540001
98.470001,72,82.587997
99.849998,73,83.739998
99.849998,73,83.739998
98.470001,74,83.788002
98.93,74,83.972
99.849998,74,84.339996
99.849998,75,84.940002
98.699997,76,85.080002
98.239998,77,85.496002
98.239998,77,85.496002
98.93,83,89.372002
96.629997,86,90.251999
98.470001,85,90.388
98.010002,86,90.804001
96.629997,88,91.452003
99.389999,87,91.956001
95.389999,90,92.155998
100,87,92.199997
98.010002,89,92.603996
98.239998,89,92.695999
99.849998,89,93.339996
99.389999,90,93.755997
97.779999,92,94.311996
99.849998,91,94.540001
98.699997,97,97.68
